midi,note,start_s,end_s,velocity,confidence
57,A3,14.744,14.792,0.6992536877616966,1.6119400973616762
56,G#3,14.792,14.84,0.7114719283838289,1.6683319771561331
62,D4,14.84,14.96,0.6923819483955529,1.580224377210244
63,D#4,14.96,14.976,0.4959791360154125,0.6737498585326731
60,C4,15.016,15.144,0.689377059515339,1.5663556593015646
58,A#3,15.144,15.168000000000001,0.42486753429363194,0.345542465970609
65,F4,15.176,15.344000000000001,0.8129850936831232,2.1368542785374918
64,E4,15.344000000000001,15.368,0.5602016753121785,0.9701615783639006
48,C3,15.352,15.392,0.505258064471136,0.716575682174474
65,F4,15.376,15.432,0.5664606048452641,0.9990489454396805
64,E4,15.432,15.472,0.6694192471225532,1.4742426790271685
62,D4,15.44,15.504,0.7117846091590347,1.669775119195545
68,G#4,15.504,15.56,0.5735271935532518,1.0316639702457777
69,A4,15.56,15.648,0.7199015535500753,1.7072379394618862
65,F4,15.688,15.848,0.7263703257564422,1.7370938111835792
71,B4,15.848,16.016000000000002,0.7332536915455922,1.768863191748887
68,G#4,16.016000000000002,16.064,0.49341081780181295,0.6618960821622136
71,B4,16.064,16.112000000000002,0.6647029156574038,1.452474995341864
72,C5,16.112000000000002,16.208000000000002,0.6494267531077751,1.3819696297281927
74,D5,16.208000000000002,16.344,0.6108853683609569,1.2040863155121087
72,C5,16.296,16.32,0.4926907940690991,0.6585728957035344
71,B4,16.344,16.472,0.7116475359530131,1.6691424736292915
72,C5,16.392,16.408,0.5512042488199403,0.9286349945535709
81,A5,16.512,16.624,0.692671037274508,1.5815586335746525
80,G#5,16.624,16.688,0.6069001282390303,1.1856928995647553
81,A5,16.688,16.704,0.5307309116939796,0.834142669356829
79,G5,16.704,16.72,0.6716242695531988,1.4844197056301482
